epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.6930965347675697,0.6804315603869947,0.5332347140039447,0.5216608818614218,0.8003944773175542,0.6316444859522142
2,0.6005958151037325,0.5641488134860992,0.7011834319526628,0.6565377532228361,0.8437869822485207,0.7384774728120145
3,0.557716421150785,0.5301000852878162,0.7374753451676529,0.6858024691358025,0.8765285996055227,0.7695238095238095
4,0.5317919056673102,0.518790443894991,0.7440828402366864,0.6896551724137931,0.8875739644970414,0.7761966364812419
5,0.5144655326831213,0.5210362905959601,0.7403353057199211,0.671837540544352,0.9396449704142011,0.783488199983554
6,0.5031604735146002,0.5208061996506592,0.7394477317554241,0.6709859154929577,0.9396449704142011,0.7829087921117502
7,0.4955187755090491,0.5449285866334235,0.7218934911242604,0.6490856082692817,0.9660749506903353,0.7764743183259353
8,0.48967679100269174,0.5234480395866117,0.7398422090729783,0.6671707451196041,0.9571992110453649,0.7862929358392742
9,0.48368611045919163,0.5236281836258501,0.7379684418145956,0.6660701995870613,0.9544378698224852,0.784596676124848
10,0.48021227275741213,0.5419852497637836,0.7250493096646943,0.6513664101883789,0.9684418145956607,0.7788705583756346
